period_beginning_in,province, withdrawal_maf ,pct_allocation,delta_allocation,
1970,punjab, 43.30 ,,,
1971,punjab, 43.69 ,,,
1972,punjab, 52.92 ,,,
1973,punjab, 49.32 ,,,
1974,punjab, 43.07 ,,,
1975,punjab, 54.00 ,,,
1976,punjab, 53.88 ,,,
1977,punjab, 55.87 ,,,
1978,punjab, 52.24 ,,,
1979,punjab, 55.80 ,,,
1980,punjab, 55.22 ,,,
1981,punjab, 53.40 ,,,
1982,punjab, 53.84 ,,,
1983,punjab, 50.72 ,,,
1984,punjab, 53.12 ,,,
1985,punjab, 50.92 ,,,
1986,punjab, 56.46 ,,,
1987,punjab, 55.48 ,,,
1988,punjab, 53.99 ,,,
1989,punjab, 54.06 ,,,
1990,punjab, 58.20 ,,,
1991,punjab, 54.19 ,,,
1992,punjab, 52.56 ,0.939578119,-0.060421881,
1993,punjab, 53.66 ,0.959242045,-0.040757955,
1994,punjab, 53.13 ,0.949767608,-0.050232392,
1995,punjab, 52.17 ,0.932606364,-0.067393636,
1996,punjab, 55.09 ,0.984805148,-0.015194852,
1997,punjab, 51.21 ,0.91544512,-0.08455488,
1998,punjab, 56.42 ,1.008580622,0.008580622,
1999,punjab, 54.88 ,0.981051126,-0.018948874,
2000,punjab, 44.58 ,0.796925277,-0.203074723,
2001,punjab, 40.42 ,0.722559886,-0.277440114,
2002,punjab, 48.62 ,0.869145513,-0.130854487,
2003,punjab, 55.38 ,0.989989274,-0.010010726,
2004,punjab, 44.16 ,0.789417233,-0.210582767,
2005,punjab, 55.11 ,0.985162674,-0.014837326,
2006,punjab, 53.45 ,0.955488023,-0.044511977,
2007,punjab, 55.40 ,0.9903468,-0.0096532,
2008,punjab, 49.72 ,0.888809439,-0.111190561,
2009,punjab, 50.74 ,0.907043261,-0.092956739,
2010,punjab, 50.61 ,0.904719342,-0.095280658,
2011,punjab, 56.75 ,1.0144798,0.0144798,
2012,punjab, 47.21 ,0.843939936,-0.156060064,
2013,punjab, 52.11 ,0.931533786,-0.068466214,
2014,punjab, 52.76 ,0.943153379,-0.056846621,
2015,punjab, 50.32 ,0.899535216,-0.100464784,
2016,punjab, 53.03 ,0.947979979,-0.052020021,
2017,punjab, 48.75 ,0.871469432,-0.128530568,
2018,punjab, 41.88 ,0.748659278,-0.251340722,
2019,punjab, 48.75 ,0.871469432,-0.128530568,
1970,sindh, 39.30 ,,,
1971,sindh, 41.20 ,,,
1972,sindh, 45.10 ,,,
1973,sindh, 44.50 ,,,
1974,sindh, 40.80 ,,,
1975,sindh, 42.30 ,,,
1976,sindh, 40.70 ,,,
1977,sindh, 4.50 ,,,
1978,sindh, 41.40 ,,,
1979,sindh, 46.20 ,,,
1980,sindh, 48.90 ,,,
1981,sindh, 45.50 ,,,
1982,sindh, 45.10 ,,,
1983,sindh, 45.90 ,,,
1984,sindh, 46.30 ,,,
1985,sindh, 42.60 ,,,
1986,sindh, 46.40 ,,,
1987,sindh, 50.10 ,,,
1988,sindh, 46.60 ,,,
1989,sindh, 44.60 ,,,
1990,sindh, 48.20 ,,,
1991,sindh, 52.20 ,,,
1992,sindh, 44.70 ,0.916735029,-0.083264971,
1993,sindh, 47.60 ,0.976210008,-0.023789992,
1994,sindh, 37.50 ,0.769073011,-0.230926989,
1995,sindh, 45.60 ,0.935192781,-0.064807219,
1996,sindh, 48.80 ,1.000820345,0.000820345,
1997,sindh, 46.50 ,0.953650533,-0.046349467,
1998,sindh, 48.20 ,0.988515176,-0.011484824,
1999,sindh, 45.40 ,0.931091058,-0.068908942,
2000,sindh, 35.90 ,0.736259229,-0.263740771,
2001,sindh, 31.70 ,0.650123052,-0.349876948,
2002,sindh, 35.20 ,0.721903199,-0.278096801,
2003,sindh, 42.90 ,0.879819524,-0.120180476,
2004,sindh, 35.60 ,0.730106645,-0.269893355,
2005,sindh, 42.80 ,0.877768663,-0.122231337,
2006,sindh, 38.30 ,0.785479902,-0.214520098,
2007,sindh, 42.00 ,0.861361772,-0.138638228,
2008,sindh, 39.20 ,0.803937654,-0.196062346,
2009,sindh, 39.70 ,0.814191961,-0.185808039,
2010,sindh, 37.08 ,0.760459393,-0.239540607,
2011,sindh, 33.20 ,0.680885972,-0.319114028,
2012,sindh, 38.80 ,0.795734208,-0.204265792,
2013,sindh, 42.20 ,0.865463495,-0.134536505,
2014,sindh, 45.10 ,0.924938474,-0.075061526,
2015,sindh, 44.30 ,0.908531583,-0.091468417,
2016,sindh, 43.30 ,0.88802297,-0.11197703,
2017,sindh, 36.80 ,0.754716981,-0.245283019,
2018,sindh, 37.60 ,0.771123872,-0.228876128,
2019,sindh, 41.40 ,0.849056604,-0.150943396,