period_beginning_in,province, tubewells , canal_withdrawal_maf ,pct_waa_allocation,delta_waa_allocation,net_area_sown_mha,ttl_cropped_area_mha,sale_fertilizer_ttonnes,fe_consum_per_net_area_mha,fe_consum_per_ttl_cropped_mha
1964,punjab,21776,,,,,,,,
1965,punjab,28746,,,,,,,,
1966,punjab,36217,,,,,,,,
1967,punjab,44488,,,,,,,,
1968,punjab,53797,,,,,,,,
1969,punjab,62034,,,,,,,,
1970,punjab,75346,43.3,,,,,184,,
1971,punjab,81955,43.69,,,,,253,,
1972,punjab,90758,52.92,,,,,296,,
1973,punjab,99674,49.32,,,,,249,,
1974,punjab,109869,43.07,,,,,288,,
1975,punjab,130398,54,,,,,371,,
1976,punjab,134782,53.88,,,,,414,,
1977,punjab,140724,55.87,,,,,465,,
1978,punjab,144121,52.24,,,,,588,,
1979,punjab,147995,55.8,,,,,719,,
1980,punjab,154468,55.22,,,,,698,,
1981,punjab,176122,53.4,,,,,713,,
1982,punjab,181892,53.84,,,,,814,,
1983,punjab,198311,50.72,,,,,786,,
1984,punjab,215480,53.12,,,10.663,,829,77.74547501,
1985,punjab,223846,50.92,,,10.746,,1051,97.80383398,
1986,punjab,235406,56.46,,,10.84,,1233,113.7453875,
1987,punjab,252052,55.48,,,10.112,13.761,1204,119.0664557,87.49364145
1988,punjab,264776,53.99,,,11.038,14.818,1244,112.7015764,83.95195033
1989,punjab,282854,54.06,,,10.613,,1359,128.0505041,
1990,punjab,295947,58.2,,,10.806,,1348,124.7455118,
1991,punjab,309593,54.19,,,10.92,14.862,1327,121.5201465,89.28811735
1992,punjab,328261,52.56,0.939578119,-0.060421881,10.866,14.985,1510,138.9655807,100.7674341
1993,punjab,369459,53.66,0.959242045,-0.040757955,10.875,14.832,1487,136.7356322,100.2562028
1994,punjab,415271,53.13,0.949767608,-0.050232392,11.136,15.645,1557,139.8168103,99.52061361
1995,punjab,435228,52.17,0.932606364,-0.067393636,11.266,15.912,1837,163.0569856,115.447461
1996,punjab,452431,55.09,0.984805148,-0.015194852,11.232,15.914,1694,150.8190883,106.4471534
1997,punjab,473667,51.21,0.91544512,-0.08455488,11.168,15.963,1801,161.2643266,112.8234041
1998,punjab,500631,56.42,1.008580622,0.008580622,11.209,15.804,1740,155.2324025,110.0987092
1999,punjab,543243,54.88,0.981051126,-0.018948874,11.193,16.004,1927,172.1611722,120.4073982
2000,punjab,588130,44.58,0.796925277,-0.203074723,11.009,16.057,2060,187.1196294,128.2929563
2001,punjab,610750,40.42,0.722559886,-0.277440114,11.037,16.104,1977,179.1247622,122.7645306
2002,punjab,656898,48.62,0.869145513,-0.130854487,10.954,15.962,2063,188.333029,129.2444556
2003,punjab,824879,55.38,0.989989274,-0.010010726,10.914,16.412,2255,206.6153564,137.3994638
2004,punjab,845573,44.16,0.789417233,-0.210582767,11.174,16.69,2571,230.0877036,154.0443379
2005,punjab,857774,55.11,0.985162674,-0.014837326,10.986,16.683,2672,243.2186419,160.1630402
2006,punjab,884228,53.45,0.955488023,-0.044511977,11.043,17.094,2499,226.2972018,146.1916462
2007,punjab,872444,55.4,0.9903468,-0.0096532,10.943,16.967,2470,225.715069,145.5767077
2008,punjab,927006,49.72,0.888809439,-0.111190561,11.032,17.139,2552,231.3270486,148.9001692
2009,punjab,944649,50.74,0.907043261,-0.092956739,10.89,17.12,3147,288.9807163,183.8200935
2010,punjab,954706,50.61,0.904719342,-0.095280658,10.907,16.536,2803.6,257.0459338,169.5452346
2011,punjab,981480,56.75,1.0144798,0.0144798,10.92,16.522,2648.6,242.5457875,160.3074688
2012,punjab,1012541,47.21,0.843939936,-0.156060064,11.061,16.472,2540.4,229.6718199,154.2253521
2013,punjab,1028424,52.11,0.931533786,-0.068466214,10.808,16.678,2803.9,259.4282013,168.1196786
2014,punjab,1044671,52.76,0.943153379,-0.056846621,10.783,16.623,2988.7,277.1677641,179.7930578
2015,punjab,922759,50.32,0.899535216,-0.100464784,10.755,16.572,2502.7,232.7010693,151.0197924
2016,punjab,1066600,53.03,0.947979979,-0.052020021,10.518,16.032,3498,332.5727325,218.1886228
2017,punjab,1100841,48.75,0.871469432,-0.128530568,10.757,16.427,3315.4,308.2086083,201.8262616
2018,punjab,1125225,41.88,0.748659278,-0.251340722,10.863,17.052,3172.4,292.0371905,186.0426929
2019,punjab,1159403,48.75,0.871469432,-0.128530568,10.813,17.14,3080.1,284.8515676,179.7024504
1964,sindh,,,,,,,,,
1965,sindh,2977,,,,,,,,
1966,sindh,3069,,,,,,,,
1967,sindh,3161,,,,,,,,
1968,sindh,3253,,,,,,,,
1969,sindh,3345,,,,,,,,
1970,sindh,3437,39.3,,,3.009,3.725,80.37,26.70987039,21.57583893
1971,sindh,3531,41.2,,,2.675,3.238,95.62,35.74579439,29.53057443
1972,sindh,4412,45.1,,,2.819,3.378,105.68,37.48847109,31.2847839
1973,sindh,5292,44.5,,,3.112,3.688,128.21,41.19858612,34.76409978
1974,sindh,5582,40.8,,,2.942,3.5,110.97,37.71923861,31.70571429
1975,sindh,5871,42.3,,,2.922,3.537,139.39,47.70362765,39.40910376
1976,sindh,7675,40.7,,,2.247,3.609,161.39,71.8246551,44.71875866
1977,sindh,8080,4.5,,,3.152,4.218,193.84,61.49746193,45.95542911
1978,sindh,8590,41.4,,,3.208,4.283,228.95,71.36845387,53.45552183
1979,sindh,9214,46.2,,,3.137,3.958,249.89,79.65890979,63.13542193
1980,sindh,9838,48.9,,,3.072,4.009,321.31,104.593099,80.14716887
1981,sindh,,45.5,,,3.157,4.016,290.74,92.0937599,72.39541833
1982,sindh,,45.1,,,3.499,4.396,341.29,97.53929694,77.63648772
1983,sindh,,45.9,,,3.054,3.836,332.11,108.745907,86.57716371
1984,sindh,,46.3,,,3.05,3.922,342.72,112.3672131,87.38398776
1985,sindh,,42.6,,,3.054,3.916,363.66,119.0766208,92.86516854
1986,sindh,,46.4,,,3.125,4.01,420.49,134.5568,104.8603491
1987,sindh,,50.1,,,2.491,3.363,400.17,160.6463268,118.9919715
1988,sindh,,46.6,,,2.915,4.339,369.59,126.7890223,85.17861258
1989,sindh,,44.6,,,2.851,3.754,409,143.4584356,108.9504529
1990,sindh,,48.2,,,3.064,3.978,424,138.381201,106.5862242
1991,sindh,21629,52.2,,,3.042,3.949,421,138.3957922,106.6092682
1992,sindh,22309,44.7,0.916735029,-0.083264971,3.061,3.974,470,153.5445933,118.2687469
1993,sindh,23050,47.6,0.976210008,-0.023789992,2.885,3.745,492,170.5372617,131.3751669
1994,sindh,23340,37.5,0.769073011,-0.230926989,2.699,3.504,452,167.4694331,128.9954338
1995,sindh,23588,45.6,0.935192781,-0.064807219,2.726,3.541,521,191.1225238,147.1335781
1996,sindh,23588,48.8,1.000820345,0.000820345,3.022,3.923,545,180.344143,138.9242926
1997,sindh,23588,46.5,0.953650533,-0.046349467,3.04,3.946,655,215.4605263,165.9908768
1998,sindh,28581,48.2,0.988515176,-0.011484824,3.167,4.111,641,202.3997474,155.9231331
1999,sindh,33661,45.4,0.931091058,-0.068908942,2.993,3.885,657,219.5121951,169.1119691
2000,sindh,37191,35.9,0.736259229,-0.263740771,2.39,3.102,666,278.6610879,214.7001934
2001,sindh,53862,31.7,0.650123052,-0.349876948,2.436,3.162,691,283.6617406,218.5325743
2002,sindh,67512,35.2,0.721903199,-0.278096801,2.271,3.065,675,297.2258917,220.228385
2003,sindh,78400,42.9,0.879819524,-0.120180476,2.763,3.64,665.018,240.6869345,182.6972527
2004,sindh,97472,35.6,0.730106645,-0.269893355,2.451,3.294,794.129,324.00204,241.0834851
2005,sindh,94530,42.8,0.877768663,-0.122231337,2.643,3.516,799.705,302.5747257,227.4473834
2006,sindh,95004,38.3,0.785479902,-0.214520098,2.744,3.728,783.38,285.4883382,210.1341202
2007,sindh,95215,42,0.861361772,-0.138638228,2.87,3.875,780,271.7770035,201.2903226
2008,sindh,95393,39.2,0.803937654,-0.196062346,2.807,3.82,831.953,296.3851087,217.7887435
2009,sindh,95551,39.7,0.814191961,-0.185808039,2.818,3.834,829.121,294.2232079,216.2548252
2010,sindh,95913,37.08,0.760459393,-0.239540607,2.599,3.449,761.4,292.9588303,220.7596405
2011,sindh,96233,33.2,0.680885972,-0.319114028,2.169,3.02,786,362.3789765,260.2649007
2012,sindh,147839,38.8,0.795734208,-0.204265792,2.375,3.218,649,273.2631579,201.6780609
2013,sindh,230390,42.2,0.865463495,-0.134536505,2.545,3.488,923.1,362.7111984,264.6502294
2014,sindh,230564,45.1,0.924938474,-0.075061526,2.661,3.641,975.4,366.5539271,267.8934359
2015,sindh,230742,44.3,0.908531583,-0.091468417,2.62,3.601,947.3,361.5648855,263.0658151
2016,sindh,230830,43.3,0.88802297,-0.11197703,2.684,3.681,1185.5,441.6915052,322.059223
2017,sindh,231234,36.8,0.754716981,-0.245283019,2.646,3.646,1126.4,425.6991686,308.9413055
2018,sindh,231336,37.6,0.771123872,-0.228876128,2.192,3.088,1123,512.3175182,363.6658031
2019,sindh,231420,41.4,0.849056604,-0.150943396,2.663,3.654,1077.2,404.506196,294.8002189