period_beginning_in,province,net_area_sown_mha,ttl_cropped_area_mha,sale_fertilizer_ttonnes,fe_consum_net_area,fe_consum_ttl_cropped
1970,punjab,,,184,,
1971,punjab,,,253,,
1972,punjab,,,296,,
1973,punjab,,,249,,
1974,punjab,,,288,,
1975,punjab,,,371,,
1976,punjab,,,414,,
1977,punjab,,,465,,
1978,punjab,,,588,,
1979,punjab,,,719,,
1980,punjab,,,698,,
1981,punjab,,,713,,
1982,punjab,,,814,,
1983,punjab,,,786,,
1984,punjab,10.663,,829,77.74547501,
1985,punjab,10.746,,1051,97.80383398,
1986,punjab,10.84,,1233,113.7453875,
1987,punjab,10.112,13.761,1204,119.0664557,87.49364145
1988,punjab,11.038,14.818,1244,112.7015764,83.95195033
1989,punjab,10.613,,1359,128.0505041,
1990,punjab,10.806,,1348,124.7455118,
1991,punjab,10.92,14.862,1327,121.5201465,89.28811735
1992,punjab,10.866,14.985,1510,138.9655807,100.7674341
1993,punjab,10.875,14.832,1487,136.7356322,100.2562028
1994,punjab,11.136,15.645,1557,139.8168103,99.52061361
1995,punjab,11.266,15.912,1837,163.0569856,115.447461
1996,punjab,11.232,15.914,1694,150.8190883,106.4471534
1997,punjab,11.168,15.963,1801,161.2643266,112.8234041
1998,punjab,11.209,15.804,1740,155.2324025,110.0987092
1999,punjab,11.193,16.004,1927,172.1611722,120.4073982
2000,punjab,11.009,16.057,2060,187.1196294,128.2929563
2001,punjab,11.037,16.104,1977,179.1247622,122.7645306
2002,punjab,10.954,15.962,2063,188.333029,129.2444556
2003,punjab,10.914,16.412,2255,206.6153564,137.3994638
2004,punjab,11.174,16.69,2571,230.0877036,154.0443379
2005,punjab,10.986,16.683,2672,243.2186419,160.1630402
2006,punjab,11.043,17.094,2499,226.2972018,146.1916462
2007,punjab,10.943,16.967,2470,225.715069,145.5767077
2008,punjab,11.032,17.139,2552,231.3270486,148.9001692
2009,punjab,10.89,17.12,3147,288.9807163,183.8200935
2010,punjab,10.907,16.536,2803.6,257.0459338,169.5452346
2011,punjab,10.92,16.522,2648.6,242.5457875,160.3074688
2012,punjab,11.061,16.472,2540.4,229.6718199,154.2253521
2013,punjab,10.808,16.678,2803.9,259.4282013,168.1196786
2014,punjab,10.783,16.623,2988.7,277.1677641,179.7930578
2015,punjab,10.755,16.572,2502.7,232.7010693,151.0197924
2016,punjab,10.518,16.032,3498,332.5727325,218.1886228
2017,punjab,10.757,16.427,3315.4,308.2086083,201.8262616
2018,punjab,10.863,17.052,3172.4,292.0371905,186.0426929
2019,punjab,10.813,17.14,3080.1,284.8515676,179.7024504
1970,sindh,3.009,3.725,80.37,26.70987039,21.57583893
1971,sindh,2.675,3.238,95.62,35.74579439,29.53057443
1972,sindh,2.819,3.378,105.68,37.48847109,31.2847839
1973,sindh,3.112,3.688,128.21,41.19858612,34.76409978
1974,sindh,2.942,3.5,110.97,37.71923861,31.70571429
1975,sindh,2.922,3.537,139.39,47.70362765,39.40910376
1976,sindh,2.247,3.609,161.39,71.8246551,44.71875866
1977,sindh,3.152,4.218,193.84,61.49746193,45.95542911
1978,sindh,3.208,4.283,228.95,71.36845387,53.45552183
1979,sindh,3.137,3.958,249.89,79.65890979,63.13542193
1980,sindh,3.072,4.009,321.31,104.593099,80.14716887
1981,sindh,3.157,4.016,290.74,92.0937599,72.39541833
1982,sindh,3.499,4.396,341.29,97.53929694,77.63648772
1983,sindh,3.054,3.836,332.11,108.745907,86.57716371
1984,sindh,3.05,3.922,342.72,112.3672131,87.38398776
1985,sindh,3.054,3.916,363.66,119.0766208,92.86516854
1986,sindh,3.125,4.01,420.49,134.5568,104.8603491
1987,sindh,2.491,3.363,400.17,160.6463268,118.9919715
1988,sindh,2.915,4.339,369.59,126.7890223,85.17861258
1989,sindh,2.851,3.754,409,143.4584356,108.9504529
1990,sindh,3.064,3.978,424,138.381201,106.5862242
1991,sindh,3.042,3.949,421,138.3957922,106.6092682
1992,sindh,3.061,3.974,470,153.5445933,118.2687469
1993,sindh,2.885,3.745,492,170.5372617,131.3751669
1994,sindh,2.699,3.504,452,167.4694331,128.9954338
1995,sindh,2.726,3.541,521,191.1225238,147.1335781
1996,sindh,3.022,3.923,545,180.344143,138.9242926
1997,sindh,3.04,3.946,655,215.4605263,165.9908768
1998,sindh,3.167,4.111,641,202.3997474,155.9231331
1999,sindh,2.993,3.885,657,219.5121951,169.1119691
2000,sindh,2.39,3.102,666,278.6610879,214.7001934
2001,sindh,2.436,3.162,691,283.6617406,218.5325743
2002,sindh,2.271,3.065,675,297.2258917,220.228385
2003,sindh,2.763,3.64,665.018,240.6869345,182.6972527
2004,sindh,2.451,3.294,794.129,324.00204,241.0834851
2005,sindh,2.643,3.516,799.705,302.5747257,227.4473834
2006,sindh,2.744,3.728,783.38,285.4883382,210.1341202
2007,sindh,2.87,3.875,780,271.7770035,201.2903226
2008,sindh,2.807,3.82,831.953,296.3851087,217.7887435
2009,sindh,2.818,3.834,829.121,294.2232079,216.2548252
2010,sindh,2.599,3.449,761.4,292.9588303,220.7596405
2011,sindh,2.169,3.02,786,362.3789765,260.2649007
2012,sindh,2.375,3.218,649,273.2631579,201.6780609
2013,sindh,2.545,3.488,923.1,362.7111984,264.6502294
2014,sindh,2.661,3.641,975.4,366.5539271,267.8934359
2015,sindh,2.62,3.601,947.3,361.5648855,263.0658151
2016,sindh,2.684,3.681,1185.5,441.6915052,322.059223
2017,sindh,2.646,3.646,1126.4,425.6991686,308.9413055
2018,sindh,2.192,3.088,1123,512.3175182,363.6658031
2019,sindh,2.663,3.654,1077.2,404.506196,294.8002189